act_symbol,period_end_date,reported,estimate
XOM,2023-09-30,2.27,2.36
XOM,2023-12-31,2.48,2.21
XOM,2024-03-31,2.06,2.19
XOM,2024-06-30,2.14,2.04
XOM,2024-09-30,1.92,1.91
XOM,2024-12-31,1.67,1.55
XOM,2025-03-31,1.76,1.74
XOM,2025-06-30,1.64,1.49
XOM,2025-09-30,1.88,1.81
ZM,2022-01-31,1.29,1.07
ZM,2022-04-30,1.03,0.88
ZM,2022-07-31,1.05,0.92
ZM,2022-10-31,1.07,0.84
ZM,2023-01-31,1.22,0.79
ZM,2023-04-30,1.16,0.99
ZM,2023-07-31,1.34,1.05
ZM,2023-10-31,1.29,1.08
ZM,2024-01-31,1.42,1.15
ZM,2024-04-30,1.35,1.19
ZM,2024-07-31,1.39,1.21
ZM,2024-10-31,1.38,1.31
ZM,2025-01-31,1.41,1.31
ZM,2025-04-30,1.43,1.30
ZM,2025-07-31,1.53,1.37
ZM,2025-10-31,1.52,1.43
ZS,2022-01-31,0.13,0.11
ZS,2022-04-30,0.17,0.11
ZS,2022-07-31,0.25,0.20
ZS,2022-10-31,0.29,0.26
ZS,2023-01-31,0.37,0.29
ZS,2023-04-30,0.48,0.42
ZS,2023-07-31,0.64,0.49
ZS,2023-10-31,0.67,0.49
ZS,2024-01-31,0.76,0.58
ZS,2024-04-30,0.88,0.65
ZS,2024-07-31,0.88,0.69
ZS,2024-10-31,0.77,0.63
ZS,2025-01-31,0.78,0.69
ZS,2025-04-30,0.84,0.75
ZS,2025-07-31,0.89,0.80
ZS,2025-10-31,0.96,0.85
